Time	RFU(A01)	RFU(A02)	RFU(A03)	RFU(A04)	RFU(A05)	RFU(A06)	RFU(A07)	RFU(A08)	RFU(A09)	RFU(A10)	RFU(A11)	RFU(A12)	C	PlateId	RunProfileEntryIndex	RunNumber	Row
227.80							0.272400							2021-01-07_9776	1	1	A
227.92							0.275800							2021-01-07_9776	1	1	A
228.03							0.282300							2021-01-07_9776	1	1	A
228.15							0.286900							2021-01-07_9776	1	1	A
228.27							0.288300							2021-01-07_9776	1	1	A
228.38							0.287300							2021-01-07_9776	1	1	A
228.50							0.283300							2021-01-07_9776	1	1	A
228.62							0.277500							2021-01-07_9776	1	1	A
228.74							0.274400							2021-01-07_9776	1	1	A
228.85							0.274400							2021-01-07_9776	1	1	A
228.97							0.274000							2021-01-07_9776	1	1	A
229.09							0.272000							2021-01-07_9776	1	1	A
229.20							0.270500							2021-01-07_9776	1	1	A
229.32							0.271900							2021-01-07_9776	1	1	A
229.44							0.277100							2021-01-07_9776	1	1	A
229.55							0.283500							2021-01-07_9776	1	1	A
229.67							0.287300							2021-01-07_9776	1	1	A
229.79							0.287400							2021-01-07_9776	1	1	A
229.91							0.285500							2021-01-07_9776	1	1	A
230.02							0.283800							2021-01-07_9776	1	1	A
230.14							0.283000							2021-01-07_9776	1	1	A
230.26							0.280900							2021-01-07_9776	1	1	A
230.37							0.277600							2021-01-07_9776	1	1	A
230.49							0.274900							2021-01-07_9776	1	1	A
230.61							0.273700							2021-01-07_9776	1	1	A
230.72							0.275500							2021-01-07_9776	1	1	A
230.84							0.279600							2021-01-07_9776	1	1	A
230.96							0.283800							2021-01-07_9776	1	1	A
231.08							0.288400							2021-01-07_9776	1	1	A
231.19							0.293000							2021-01-07_9776	1	1	A
231.31							0.295800							2021-01-07_9776	1	1	A
231.43							0.299600							2021-01-07_9776	1	1	A
231.54							0.305400							2021-01-07_9776	1	1	A
231.66							0.309600							2021-01-07_9776	1	1	A
231.78							0.311700							2021-01-07_9776	1	1	A
231.89							0.313900							2021-01-07_9776	1	1	A
232.01							0.317300							2021-01-07_9776	1	1	A
232.13							0.323600							2021-01-07_9776	1	1	A
232.25							0.332600							2021-01-07_9776	1	1	A
232.36							0.339700							2021-01-07_9776	1	1	A
232.48							0.342400							2021-01-07_9776	1	1	A
232.60							0.341600							2021-01-07_9776	1	1	A
232.71							0.341000							2021-01-07_9776	1	1	A
232.83							0.343600							2021-01-07_9776	1	1	A
232.95							0.350300							2021-01-07_9776	1	1	A
233.06							0.359100							2021-01-07_9776	1	1	A
233.18							0.367100							2021-01-07_9776	1	1	A
233.30							0.372900							2021-01-07_9776	1	1	A
233.42							0.375100							2021-01-07_9776	1	1	A
233.53							0.375200							2021-01-07_9776	1	1	A
233.65							0.375700							2021-01-07_9776	1	1	A
233.77							0.377900							2021-01-07_9776	1	1	A
233.88							0.381400							2021-01-07_9776	1	1	A
234.00							0.385100							2021-01-07_9776	1	1	A
234.12							0.391500							2021-01-07_9776	1	1	A
234.23							0.401700							2021-01-07_9776	1	1	A
234.35							0.413300							2021-01-07_9776	1	1	A
234.47							0.423400							2021-01-07_9776	1	1	A
234.59							0.433200							2021-01-07_9776	1	1	A
234.70							0.445300							2021-01-07_9776	1	1	A
234.82							0.459900							2021-01-07_9776	1	1	A
234.94							0.476000							2021-01-07_9776	1	1	A
235.05							0.495900							2021-01-07_9776	1	1	A
235.17							0.520300							2021-01-07_9776	1	1	A
235.29							0.547300							2021-01-07_9776	1	1	A
235.40							0.574700							2021-01-07_9776	1	1	A
235.52							0.601400							2021-01-07_9776	1	1	A
235.64							0.628300							2021-01-07_9776	1	1	A
235.76							0.656600							2021-01-07_9776	1	1	A
235.87							0.684200							2021-01-07_9776	1	1	A
235.99							0.710400							2021-01-07_9776	1	1	A
236.11							0.737900							2021-01-07_9776	1	1	A
236.22							0.773600							2021-01-07_9776	1	1	A
236.34							0.827300							2021-01-07_9776	1	1	A
236.46							0.914100							2021-01-07_9776	1	1	A
236.57							1.050400							2021-01-07_9776	1	1	A
236.69							1.248300							2021-01-07_9776	1	1	A
236.81							1.511100							2021-01-07_9776	1	1	A
236.93							1.821900							2021-01-07_9776	1	1	A
237.04							2.152300							2021-01-07_9776	1	1	A
237.16							2.469700							2021-01-07_9776	1	1	A
237.28							2.741200							2021-01-07_9776	1	1	A
237.39							2.943300							2021-01-07_9776	1	1	A
237.51							3.071000							2021-01-07_9776	1	1	A
237.63							3.129800							2021-01-07_9776	1	1	A
237.74							3.129900							2021-01-07_9776	1	1	A
237.86							3.082800							2021-01-07_9776	1	1	A
237.98							2.996700							2021-01-07_9776	1	1	A
238.10							2.880300							2021-01-07_9776	1	1	A
238.21							2.741700							2021-01-07_9776	1	1	A
238.33							2.588000							2021-01-07_9776	1	1	A
238.45							2.424900							2021-01-07_9776	1	1	A
238.56							2.257900							2021-01-07_9776	1	1	A
238.68							2.095700							2021-01-07_9776	1	1	A
238.80							1.943700							2021-01-07_9776	1	1	A
238.91							1.801100							2021-01-07_9776	1	1	A
239.03							1.666600							2021-01-07_9776	1	1	A
239.15							1.538700							2021-01-07_9776	1	1	A
239.27							1.418400							2021-01-07_9776	1	1	A
239.38							1.306800							2021-01-07_9776	1	1	A
239.50							1.201100							2021-01-07_9776	1	1	A
239.62							1.101100							2021-01-07_9776	1	1	A
239.73							1.008200							2021-01-07_9776	1	1	A
239.85							0.923300							2021-01-07_9776	1	1	A
239.97							0.848600							2021-01-07_9776	1	1	A
240.08							0.785800							2021-01-07_9776	1	1	A
240.20							0.732100							2021-01-07_9776	1	1	A
240.32							0.684000							2021-01-07_9776	1	1	A
240.44							0.639100							2021-01-07_9776	1	1	A
240.55							0.596300							2021-01-07_9776	1	1	A
240.67							0.556600							2021-01-07_9776	1	1	A
240.79							0.521100							2021-01-07_9776	1	1	A
